Hechos Intradía,,,,,,
,,,,,,
"Razón Social: TV AZTECA, S.A.B. DE C.V.",,,,,,
Ticker: AZTECA,,,,,,
Serie: CPO,,,,,,
Fecha Inicial: 6/30/2014,,,,,,
Fecha Final: 7/5/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
6/30/2014,8:30:00 AM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,7.27,727
6/30/2014,8:32:00 AM,GRUPO BURSATIL MEXICANO,MERRILL LYNCH,500,7.26,3630
6/30/2014,8:32:00 AM,GRUPO BURSATIL MEXICANO,MERRILL LYNCH,100,7.26,726
6/30/2014,8:32:00 AM,GRUPO BURSATIL MEXICANO,INTERACCIONES CASA DE BOL,100,7.31,731
6/30/2014,8:37:00 AM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,4000,7.31,29240
6/30/2014,8:38:00 AM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,300,7.29,2187
6/30/2014,8:38:00 AM,GRUPO BURSATIL MEXICANO,MERRILL LYNCH,900,7.3,6570
6/30/2014,8:38:00 AM,GRUPO BURSATIL MEXICANO,DEUTSCHE SECURITIES,3800,7.3,27740
6/30/2014,8:41:00 AM,CITIBANK,MERRILL LYNCH,500,7.27,3635
6/30/2014,8:41:00 AM,GRUPO BURSATIL MEXICANO,ACTINVER CASA DE BOLSA,2800,7.26,20328
6/30/2014,8:41:00 AM,CITIBANK,ACTINVER CASA DE BOLSA,200,7.25,1450
6/30/2014,8:42:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,1973,7.22,14245.06
6/30/2014,8:42:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,700,7.22,5054
6/30/2014,8:42:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,100,7.22,722
6/30/2014,8:42:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,100,7.22,722
6/30/2014,8:43:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,127,7.22,916.94
6/30/2014,8:43:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,853,7.22,6158.66
6/30/2014,8:46:00 AM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,2000,7.22,14440
6/30/2014,8:46:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,800,7.22,5776
6/30/2014,8:46:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,200,7.22,1444
6/30/2014,9:04:00 AM,DEUTSCHE SECURITIES,MORGAN STANLEY MEXICO CAS,9980,7.22,72055.6
6/30/2014,9:04:00 AM,DEUTSCHE SECURITIES,MERRILL LYNCH,1700,7.22,12274
6/30/2014,9:04:00 AM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,1124,7.23,8126.52
6/30/2014,9:04:00 AM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,1676,7.23,12117.48
6/30/2014,9:04:00 AM,DEUTSCHE SECURITIES,MORGAN STANLEY MEXICO CAS,1660,7.22,11985.2
6/30/2014,9:07:00 AM,DEUTSCHE SECURITIES,MERRILL LYNCH,900,7.22,6498
6/30/2014,9:07:00 AM,DEUTSCHE SECURITIES,MERRILL LYNCH,160,7.22,1155.2
6/30/2014,9:07:00 AM,INTERACCIONES CASA DE BOL,INTERACCIONES CASA DE BOL,1500,7.23,10845
6/30/2014,9:07:00 AM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,600,7.23,4338
6/30/2014,9:08:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,2960,7.22,21371.2
6/30/2014,9:08:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,1240,7.22,8952.8
6/30/2014,9:11:00 AM,MORGAN STANLEY MEXICO CAS,MERRILL LYNCH,100,7.23,723
6/30/2014,9:16:00 AM,MORGAN STANLEY MEXICO CAS,MERRILL LYNCH,100,7.24,724
6/30/2014,9:16:00 AM,GRUPO BURSATIL MEXICANO,INTERACCIONES CASA DE BOL,100,7.23,723
6/30/2014,9:16:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,760,7.22,5487.2
6/30/2014,9:16:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,440,7.22,3176.8
6/30/2014,9:16:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,6800,7.23,49164
6/30/2014,9:16:00 AM,VALORES FINAMEX,MERRILL LYNCH,1600,7.23,11568
6/30/2014,9:17:00 AM,GRUPO BURSATIL MEXICANO,MERRILL LYNCH,100,7.23,723
6/30/2014,9:17:00 AM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,1700,7.22,12274
6/30/2014,9:17:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,300,7.22,2166
6/30/2014,9:17:00 AM,ACTINVER CASA DE BOLSA,MERRILL LYNCH,890,7.22,6425.8
6/30/2014,9:17:00 AM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.22,722
6/30/2014,9:18:00 AM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.22,2166
